Text,Annotator 1,Annotator 2,Annotator 3,Sentiment,SourceSheet,Unanimous,Stratum
par me final me india ko jitwanay nahi do gi {(nix)}ok....me srilanka ko jitwao gi.....bas me chatti ho kay india nahi jeetay ...or koi bhalay jeet jai...,neutral,neutral,neutral,neutral,sports,True,sports§neutral
ALLAH PAK team ko apney hifzo amaan mai rakey ameen👍👍👍👍👍,positive,positive,positive,positive,sports,True,sports§positive
best of luck shahid bhai abi nhi tu kabi nhi,neutral,neutral,neutral,neutral,sports,True,sports§neutral
ghar me ghoss kar mary gay India ko inshallah,negative,negative,negative,negative,sports,True,sports§negative
shoaib bhai s dfha t20 wc ma achi prfamis krna please mayos na krna qk ma apka boht bhra fan hun,positive,positive,positive,positive,sports,True,sports§positive
laikin sir ap nai puri Qum ko Mayos kar diya hai.,negative,negative,negative,negative,sports,True,sports§negative
Hahaha Lhr Ajao na Sb Sath McDonald's jaen gay 😄 Eeeeeeeeee😍 @rizvi_j,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Main agay bethungi plissssss!🙈🙈🙈,neutral,neutral,neutral,neutral,sports,True,sports§neutral
o mera hai wo tera hi hai,neutral,neutral,neutral,neutral,sports,True,sports§neutral
aap hme bilkul he bool gye hai ??,negative,negative,negative,negative,sports,True,sports§negative
shahid bhai ALLAH PAAK apko kaamyaab karen.Ameen,positive,positive,positive,positive,sports,True,sports§positive
. 20 sal say nahusat phelai hui hai tum nay.. ab jan chor do.. laalchi admi..,negative,negative,negative,negative,sports,True,sports§negative
OK lkin mene nhi ana mai q auu jb apki team hi nhi hogi:-(,negative,negative,negative,negative,sports,True,sports§negative
Shah Ji wo pls mujhe apko ye kehna tha k plsssssssssssssss apni crazy choti c fan,positive,positive,positive,positive,sports,True,sports§positive
"Bhai, kum se kum sasti wali afeem toh na kiya karo.",negative,negative,negative,negative,sports,True,sports§negative
mujhe 1 month phle kia tha Lala ne reply us k bd me off rhti thi ab me itnyy twits krti hon but no reply,negative,negative,negative,negative,sports,True,sports§negative
lala mje apse baat krni hai plz online ajaye na :-(,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Lala apki captaincy waqai hi bht change hai team ne apki captani mai zbrdst khela hai mabrook Lala (:,positive,positive,positive,positive,sports,True,sports§positive
koi jawan achank hadsati mot mary to har ek ko us ka dukh lagta h.,negative,negative,negative,negative,sports,True,sports§negative
ahahahah lalaa nez land walO ki Dil Took Gya. Kingrose team ko hebratnak sekast. K,negative,negative,negative,negative,sports,True,sports§negative
lala . Aap n hit buhat khrab kheli thi next time bouncer ko plz mat khelna,negative,negative,negative,negative,sports,True,sports§negative
"Hahaha Mere Lala Mujse B Great Hain, :* Mera Name Chck KroOo.",positive,positive,positive,positive,sports,True,sports§positive
"Lally ka record koi itna acha nai, Is ke cptncy mn pak 11 match hara 8 jeeta :/",negative,negative,negative,negative,sports,True,sports§negative
i know pr ma to apne tweet brhany k liy kr ri hn,neutral,neutral,neutral,neutral,sports,True,sports§neutral
haan.jo apke piche piche mai v..afiridi jara khayal rakein ap,positive,positive,positive,positive,sports,True,sports§positive
Agr ap bat sun ly ge to ap ka bohat zada thnks ho ga bahi shahid,positive,positive,positive,positive,sports,True,sports§positive
cant tell u lala aj kitni mushkil hui ghar anna mein =/ pehli daffa ehsas hua tv par sahi dekhata han lol,neutral,neutral,neutral,neutral,sports,True,sports§neutral
tks Shahid hahahahhahahha kal ap ny hamy tang kiya aaj hamari baari thi yupiiiiiiiiiiiiiiiiiiiiiiiiii hahahaja,negative,negative,negative,negative,sports,True,sports§negative
hahaha hmmm Lala ap Football team b j0in kr len,neutral,neutral,neutral,neutral,sports,True,sports§neutral
MASHA ALLAH.. bhut acha feel ho raha hai aap sab playerz ko 1 sath itny ache mood mai dekh ker. :),positive,positive,positive,positive,sports,True,sports§positive
dekha do duniya ko k aap waqi star ho just selfiiiiii star nahi,neutral,neutral,neutral,neutral,sports,True,sports§neutral
India vs pak ka sb sa zaida wait ha wo jaldi sa ho jy,neutral,neutral,neutral,neutral,sports,True,sports§neutral
wow mn abhi apko yad kr rhi thi balky apky about he bt kr rhi thi ap ki tweet a gai wow,positive,positive,positive,positive,sports,True,sports§positive
shukr krain ap garh baithay hain :p,positive,positive,positive,positive,sports,True,sports§positive
"Ahmad bhai sb haar ke bad boht sad hein, pls chat session karlein thora gham kam hojayega pls pls",neutral,neutral,neutral,neutral,sports,True,sports§neutral
Bhaiiii jeet ki khushi Mian Aj follow e dy do na plgggggggg,positive,positive,positive,positive,sports,True,sports§positive
ji bhai ye autoupdate he,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
ye virus remove nai karta,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
Zabardast,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
agar Rules k khilaf hota to ab tak block ho chuka hota ma na ya thread sirif un logon k liya banaya ha jo apna pasword bhol jaty hain na k un logo k liya jo iss ka miss use karian gy or isi liya meri sab sa guzarish ha k plzzzzz plzzzz iss ko miss use mat kariyega.,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
aap say kis nay kaha?? Bhaai jis k paas anti-virus na ho uska hack honay main zyada khatra hay,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
Bohot khob,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
aur bhai ik baat azmane ke baad yahan par comment zaroor dijye ga ta ke dosre member ko bi is ki speed ka pata chalay,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
bohat achi,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
par iska kya faida,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
Bhai Aap Ki Request Ke Liye Ye Munasib Thread Nehi Hai,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
"yaar s tra ki sharing mjy zehr lagty han,,, pta ni kya msla hy log thaks thaks khty hn jb  hmy page nazar he nha ata............... yaara hme b btaona plzzzzzzzzzzzzzz",negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
aap k yahan islamic huloomat k bawjood aaj Aashiq e Rasool Ghazi Mumtaz Qadri Jail K Salkhon k peeche hai.,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
acha Tareeka hai smjhanay ka,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
bhai muj ko bahut pasan aya,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
main ny Avast instal kr lia hy  ye buht acha chal rha hy  pehly main Avira use kr raha tha  wo bhi load nhi dalta tha per per wo start hony main buht time lagata tha .mera system onhony main 10 min lga deta tha. aur oper se humary bijli waly itny shararti hain. jb com start ho jata tha saath bijli bnd ho jati thi :P per abhi theek chal raha hy  avast fit hy,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
Ye b azma k dekhty he shyd kbi free net chal jaye........aj tk nai chala sb try kia he....,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
ye bht masla daita hy... aj kal... apps khud he opn hojati hain.. kaam k apps khud he bndd ho jati hy,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
masha ALLAH zabardast thread useful thread hai,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
janab ye download nahi ho raha,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
"login na warid ka shuru say kabhi stable howa, na ufone ka. Zong ka kafi behtar hay laiken telenor ka sab say best",positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
5 kese????????????//,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
Aap itni nazuk mizaaj hain yaqeen nahi aata. Wawa kya baat hy nazar kaam karna chorh gaya tha kya? Chalo is bahany taste tu.chak liya.,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
Haha M Sub Keehl kehl lyti ho Sachi me meri urdu Bhut Week hy Roman And Simple urdu Dono Weeek :( Or Apna Nick batao u sb Ko .................................................. ..Me Abi Mad nahi hoie jo batao Apna nick meri grani behi na..:,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
Shayad diya ho. Tum kaisy maloom.,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
bohot he Acha sisila Hai,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
"Boht hi alla , ye rank tho maira hi ta maghar chalo bahsh daita hon, mazaq kar raha ta ,",positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
Hame Janny karne k liy visit kijye Hamari Interview thread... :),neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
u bhi chota sa certificate dedo jo clear na ho lol :p,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
points ka be kuch intezam kerty hain,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
kia aap mujhe Opera 7 ki Registration key de sukte hain........,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
Yar app yay software download kar lain app ki Windows Genuine (Orignel) ho jae gi. Iss link say kar lain:,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
hshahaha actually silentjan ke post ko quote krna thaaa apki ko kr diyeaaaa,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
Zabardast............kal hi maine socha muzafar bhai kahan ghaib ho gaye yar.....  Buhat khoob.....  Buhat hi acha tutorial hai..,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
bhai nh howa .. :( esa,negative,negative,negative,negative,"software, blogs & forum reviews",True,"software, blogs & forum reviews§negative"
achi class hai,positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
Haww aww inni jaldi maan gye :eek: wowwwwww =)),positive,positive,positive,positive,"software, blogs & forum reviews",True,"software, blogs & forum reviews§positive"
bro Ap ko kahan par masla araha ha ap batya main InshALLAH usko Hal krny ke kosis kronga,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
but Bro is ki kuch pictures bhi share karo ta k andaza ho k ap ka layout kis tarhan ka hai.,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
janab koi software bataye jo system ke liye ho jisse datacard / dongle use kare to uses ka pata chale,neutral,neutral,neutral,neutral,"software, blogs & forum reviews",True,"software, blogs & forum reviews§neutral"
"bilkul, ghult baat hai. Un log ke saath ziadati hai jin ki English itni achi nahi. Ab un k pass bus thank you ka word hi reh jata hai bus.",negative,negative,negative,negative,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§negative"
tou wo urdu bol len na unhe kon mana kr raha h.... but ap ne sai kaha mahol e eng ka tha tou wo kya krte.... :(,neutral,neutral,neutral,neutral,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§neutral"
bike pr aala lg rae hen dono... :),positive,positive,positive,positive,"movies,dramas,talkshows,gossips",True,"movies,dramas,talkshows,gossips§positive"
