Text,Annotator 1,Annotator 2,Annotator 3,Sentiment,SourceSheet,Unanimous,Stratum
Shukar hay Australia jeeta:),positive,positive,positive,positive,sports,True,sports§positive
ahan Australia ne really boht acha khela yyaar they desrves but newzealand ka frst time tha to un k liye feeling sad ..,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Roni soraton :p,negative,negative,negative,negative,sports,True,sports§negative
Hun tey WC hi muk gya :p,negative,negative,neutral,negative,sports,False,sports§negative
Tabhi kehtay hain Kay achay bachay bet nahi lagatay :p ab bhukto,negative,negative,neutral,negative,sports,False,sports§negative
kya choty bachy k pichy hi parr gayi ho :p,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Chalo Chod diya :p Jao kush raho :),positive,positive,positive,positive,sports,True,sports§positive
Mujhe Bilkul bhi Samjha nai aata ye sab :-??,negative,negative,negative,negative,sports,True,sports§negative
JAZAKALLAAHU KHAER... bus aap ki duaen saath hongi tu INSHA'ALLAAH aisa hi rahega :),positive,positive,positive,positive,sports,True,sports§positive
tu yaar dil rakhney k liye hi boldetey :(,positive,positive,positive,positive,sports,True,sports§positive
kia baat hey... ye dard b kam logo ko naseeb hota hey. MASHA'ALLAAH.... apni duaon mey aapko b yaad rakhengey INSHA'ALLAAH... :),positive,positive,positive,positive,sports,True,sports§positive
Wah! ghalib.. poora TM loot liya :p,neutral,neutral,neutral,neutral,sports,True,sports§neutral
zarra e nawaazi hai aapki :),positive,positive,positive,positive,sports,True,sports§positive
koi bat nhi..,positive,positive,negative,positive,sports,False,sports§positive
AMEEN,positive,positive,positive,positive,sports,True,sports§positive
wesay hum to hamesha india say jheetay aye hay..kabe kabe un becharo ko b jitwana chachye na....lolzzzzzzz,positive,positive,positive,positive,sports,True,sports§positive
ghalti humari thi is lie hum hare... accept it..face it...,negative,negative,negative,negative,sports,True,sports§negative
"may apnay rub ka jitna b shukar ada karo wo kum hay,k pehlay mujy mosalman banaya,then pir pakistani...",positive,positive,positive,positive,sports,True,sports§positive
jo howa so howa...next time inshaAllah hum jeeten gy...ameen,positive,positive,positive,positive,sports,True,sports§positive
"DON no yaar unki feilding bht zaberdast thi, n wo shuru se wrld cup me paksitan k khilaf pora zoor laga ker khelte hain...n batting pehle bhi kunsi achi hti pak ki? pore world cup me? jitne bhi jeete hian mukable sab bwoling ki waja se, aj humare bwoler hi pit gae umar gul sahab...baki sab ache rahe only umar gul pita hai...akele us ne 80 runs diye zara ye nikalo india k total se phir dekho kaun jeeta? hum ya wo?",positive,positive,positive,positive,sports,True,sports§positive
"ek baat ALLAH KO BARE BOL PASAND NAI, dosri bat APNE DUSHMAN KO KABHI BHI KAMZOOR MAT SAMJHO..",negative,negative,negative,negative,sports,True,sports§negative
"yep farry yaar khel hai aj wo jeet gae kal hum jeet jaenge ,per hume mehnat kerni hogi :)",positive,positive,positive,positive,sports,True,sports§positive
me chahta hun sab log apni team ko appriciate karo n khas ker apne captian SHAHID AFRIDI aj nai to kal afridi hi paksitan me ek or cup laega inshallah ager Allah ne chah to  :),positive,positive,positive,positive,sports,True,sports§positive
ok yaar ye bat to sahi hai apki k shahid afridi ki aj captanship me koi masla raha maybe wo satta ho sakta hai,neutral,neutral,neutral,neutral,sports,True,sports§neutral
india ki ye taareeq rahi hai k wo har world cup me pak ko beet karta hai.aur mujhe is par khushi hai k mera mulk jeet gaya.,positive,positive,positive,positive,sports,True,sports§positive
thank uuuuuuuuuuu...per treat abhi nahi jab India cup le legi tab asli treat hogi na...;;),positive,positive,positive,positive,sports,True,sports§positive
par me final me india ko jitwanay nahi do gi {(nix)}ok....me srilanka ko jitwao gi.....bas me chatti ho kay india nahi jeetay ...or koi bhalay jeet jai...,neutral,neutral,neutral,neutral,sports,True,sports§neutral
hamari team main bohat improvements aai hain aur agar ese hi woh aur ziyada practice karte rahe toh INSHALLAH zaroor top Cricket team ov da world banenge,positive,positive,positive,positive,sports,True,sports§positive
haar k b jeet gaya PAKISTAN:),neutral,neutral,neutral,neutral,sports,True,sports§neutral
LGI RHO DEAR ...UMEED PR DUNYA KAAYEM HE..{(haha}),positive,positive,positive,positive,sports,True,sports§positive
Male se acha he felame ko Good luck Karen,positive,positive,positive,positive,sports,True,sports§positive
Tum se ziada nahi lekin,negative,negative,negative,negative,sports,True,sports§negative
"khan jee, phr aAp kab ja rahe hai, india #PAK ko support karney #WT20 Mein ?????",positive,positive,positive,positive,sports,True,sports§positive
"Yaar, mardon ki team ko bhee good luck keh dey?",positive,positive,positive,positive,sports,True,sports§positive
sir jee kush kar Lao tussi vi ke agley election che v zaleel karvana hai,neutral,neutral,neutral,neutral,sports,True,sports§neutral
"kabhi jeet ke toh aaen nahi, selfion se hi shakal dikhti hai",negative,negative,negative,negative,sports,True,sports§negative
siasat or khaile main Kia faraq hay g ?,neutral,neutral,neutral,neutral,sports,True,sports§neutral
"Allah aap ko kamyaab kuray,",positive,positive,positive,positive,sports,True,sports§positive
g Khan saib umeed ab woman cricket team sy he bhtr option hai,positive,positive,positive,positive,sports,True,sports§positive
plz plz reply lala g ap ki bhhhhhhhhhhhhhhhhhhhhhhhtttttttttt bri fan hun plzzzzzzz,positive,positive,positive,positive,sports,True,sports§positive
Reply b du esko dil py ek arman hy,positive,positive,positive,positive,sports,True,sports§positive
haan wo to hyyy :),neutral,neutral,neutral,neutral,sports,True,sports§neutral
Ye kb the end hoge? ?,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Achi bat hay n.a. q lena chahti hun,positive,positive,positive,positive,sports,True,sports§positive
plss plss plsss india sy jeet janna,positive,positive,positive,positive,sports,True,sports§positive
Best Off Luky Hmra Duwa Ap Ka Sath Shahid Bhai,positive,positive,positive,positive,sports,True,sports§positive
InshaAllah Ap Win kro gy Lala.Meri Best Wishes and Dua Ap k Sath gain.,positive,positive,positive,positive,sports,True,sports§positive
pyar nahi mila Meri pyari gurya ko,neutral,neutral,neutral,neutral,sports,True,sports§neutral
ALLAH PAK team ko apney hifzo amaan mai rakey ameen👍👍👍👍👍,positive,positive,positive,positive,sports,True,sports§positive
AAP HI HAIN DILON KI DHARKAN,positive,positive,positive,positive,sports,True,sports§positive
SHAHID BHAI mei jaanta hu aap Pakistan se bohat muhabbat karte hain aur hum sab aap ko bohat pyaar karte hain bohat..love u,positive,positive,positive,positive,sports,True,sports§positive
Hum sab ki duaaen aap k sath hain SHAHID BHAI ..aap hi INSHALLAH t-20 world cup win karvaaen gein hamen,positive,positive,positive,positive,sports,True,sports§positive
India aur bangalio ka ghuror Thor do is bar,positive,positive,positive,positive,sports,True,sports§positive
Lala we r with u Pakistan ka parcham buland karna he India k fizaon me.,positive,positive,positive,positive,sports,True,sports§positive
ap kamyab honge q k ap Sache dil Se khelte Ho,positive,positive,positive,positive,sports,True,sports§positive
best of luck shahid bhai abi nhi tu kabi nhi,neutral,neutral,neutral,neutral,sports,True,sports§neutral
woiiiiiiiii ab deakhtay hain kon harata hain is team ko IK 😍 or lala sath,negative,negative,negative,negative,sports,True,sports§negative
woh sb tu theek hai pr jab Sara kam dosrun he krna hai tu inki kya zarorat,positive,positive,positive,positive,sports,True,sports§positive
Wassu Bhai ya ya lallu lala ki wajah se??,neutral,neutral,neutral,neutral,sports,True,sports§neutral
ghar me ghoss kar mary gay India ko inshallah,negative,negative,negative,negative,sports,True,sports§negative
Hamari dua aap ke saat he Allah kamyab karin aap sub ko Ameen,positive,positive,positive,positive,sports,True,sports§positive
Oh shahid bai aap ne bilkul Saheeh kaha ha kun k jo aap k baray mein galat ha wo galat khay g,positive,positive,positive,positive,sports,True,sports§positive
Aap to  kahte the  pakistaniyo ke dil bahut bada hai..Ek zara bharat ki tareef k 2 labz bhi,positive,positive,positive,positive,sports,True,sports§positive
hum sy ziyada payar India main milta hai AGR Har kar yahan aayai to hum kitna payar karty dekh lina,positive,positive,positive,positive,sports,True,sports§positive
iski saza apke fans kyu bhukte,negative,negative,negative,negative,sports,True,sports§negative
Bhai KADAM BARAO HUM TUMHARAY SAAATH HAY,neutral,positive,neutral,neutral,sports,False,sports§neutral
ye itfaak tha! Main b aapke sath online hui,neutral,positive,neutral,neutral,sports,False,sports§neutral
& blkul hum support nhn krenge tou aur kon krega?,negative,negative,negative,negative,sports,True,sports§negative
hum thak gae hain yar 20 years ho gae ap ko support krte lekin ap itne time main bus boom boom hi bne ho.....,negative,negative,negative,negative,sports,True,sports§negative
hamari duaein ap k sath hain lala good luck:-):-),positive,positive,positive,positive,sports,True,sports§positive
best of luck laiken shahid Bhai Zra pitch pay stay kiA kroo please,positive,positive,positive,positive,sports,True,sports§positive
Mai cricket nhai khilta but dekha buhat shukar sai ho,neutral,neutral,neutral,neutral,sports,True,sports§neutral
InshaAllah aap sorkhoro ho kar he loty ge..,positive,positive,positive,positive,sports,True,sports§positive
Lala hume bhool gay han kia? 😭,negative,negative,negative,negative,sports,True,sports§negative
Chat session kr k jaty ap to fans b happy hoty. :p,positive,positive,positive,positive,sports,True,sports§positive
Offcourse Shahid Bhai Support tu Hamesha meri #PakTeam ko hi hoti hai ye bhi koi kehne ki Baat hai.,positive,positive,positive,positive,sports,True,sports§positive
Yar kn sa spinner hai in mai sy wicket taking form ho jski ? Poor prfrmance with ball is psl both afridi em,negative,negative,negative,negative,sports,True,sports§negative
Ok ok going to study😑...Bs Apki tweet dekhne ai thi 😍😋 Chat Session Karen To Mujhe REPLY krdjiye ga ZAROOOR.. Tata~~❤️,neutral,neutral,neutral,neutral,sports,True,sports§neutral
thanks lala tumare es bath ko me salam karta love you 🏆🏆,positive,positive,positive,positive,sports,True,sports§positive
Phir Security ki zarurat nahii,negative,negative,negative,negative,sports,True,sports§negative
best of luck hm ha pakistani hum tu jeety gy han jeety gy:)inshaALLAH,positive,positive,positive,positive,sports,True,sports§positive
Kashmiriyu Ka Pyare Aur Dua Ap k Saath Hai Wheather We Are Under indian Rule Stil,positive,positive,positive,positive,sports,True,sports§positive
india sy har k mt ana plz,positive,positive,positive,positive,sports,True,sports§positive
thora sa contract revise ho jae to ap log strike kr dete ho.,negative,negative,negative,negative,sports,True,sports§negative
"pni susraliyun ko batao ki larkhi wali ziyada nahi bolti, Achi batting karki batao",neutral,neutral,neutral,neutral,sports,True,sports§neutral
shoaib bhai please aap se ache ommed hai ache batting ki to aap kuch  acha karo best of luck pakistan jeet ka aana .geo,positive,positive,positive,positive,sports,True,sports§positive
perform na karna bas selfian hi lete rahna!,negative,negative,negative,negative,sports,True,sports§negative
bhai jan susral walo ke duhlai kar ka ana wapis Hahahsha,neutral,neutral,neutral,neutral,sports,True,sports§neutral
Good luck Janab Allah apko Kamyab karay!,positive,positive,positive,positive,sports,True,sports§positive
Yaha bhi India ko copy kia?,neutral,neutral,neutral,neutral,sports,True,sports§neutral
