text,sentiment,sourcesheet,unanimous,annotator_1,annotator_2,annotator_3
گئ بھینس پانی میں,neutral,sports,True,neu,neu,neu
انشاءاللہ بھائی تم جیت یا ہمیں تم سے پیار ہےبہت زیاده تھوڑادھیان سے تم ہار کو دھیان سے سن لیتے ہواورجیت؟,positive,sports,True,pos,pos,pos
گنگولی کے دیس میں ٹیلنٹ بہت ہے ہمارے ہاں ایسا  ٹیلنٹ کمیاب ہے,positive,sports,True,pos,pos,pos
متفق  افراد کو جوڑنا سب کو ضرورت کی جگہ پر  کرنا میدان میں پرفیکٹ فیصلےکرنا بوم بوم کے بس کی بات نہیں,neutral,sports,True,neu,neu,neu
کھیل میں ہارنے پر معذرت کی ضرورت نہیں شاہد ٹیم کو جوڑ ہی نہیں سکتا  فیصلے غلط کرتا ہے اور اپنی پرفارمنس ,negative,sports,True,neg,neg,neg
اس میں تبلیغی جماعت والی بات کھا سے آگئی اس وقت تو کرکٹ سے ریٹائرمنٹ کی بات ھورھی ھے آپ کا کوئی مزھب نہیں,negative,sports,True,neg,neg,neg
بابا جی آپ اب اپنے تبلیغی جماعت اور ٹی وی اشتہارات میں موڈلنگ کے کیرئیر کے اہم فیصلے نبٹائیں ہم دخل نہیں دیں گے,negative,sports,True,neg,neg,neg
هماری نیک تمنائیں خپل ٹیم پشاور زلمی کیساته هے,positive,sports,True,pos,pos,pos
لالا یہ ڈی پی ذرا بھی اچھی نہیں ہیں,negative,sports,True,neg,neg,neg
 اتنی اچھی تو ہے لا لا جان کی,positive,sports,True,pos,pos,pos
شاہد بھاہی جنرل راحیل کی طرح شیر ہے,neutral,sports,True,neu,neu,neu
 پوں پوں آفریدی,neutral,sports,True,neu,neu,neu
نیک تمنائیں آپ کے ساتھ,positive,sports,True,pos,pos,pos
  پوری قوم اپ پر فخر کرتی هے,positive,sports,True,pos,pos,pos
ورلڈ کپ شروع ہو چکا ہے اور پانچ منٹ میں ہی جرمنی نے پہلا گول کر دیا ہے,neutral,sports,True,neu,neu,neu
شاباش جرمنی یاہوووووووووووووووو,positive,sports,True,pos,pos,pos
اب پاکستان نہیں کھیل رہا تو میں جرمنی کو ہی سپورٹ کر رہا ہوں میرا ٹپ یہ ہے کہ پچھے ورلڈ‌ کپ کی طرح اس مرتبہ بھی فائنل جرمنی اور برازیل کے درمیان ہوگا,neutral,sports,True,neu,neu,neu
 اس مرتبہ بھی برازیل ہی جیتے گا ,positive,sports,True,pos,pos,pos
بات صرف کریز کی ہے جیتے جو بھی,positive,sports,True,pos,pos,pos
آج ارجنٹینا کا میچ دیکھ کر میں ارجنٹینا کو جرمنی سے اوپر رکھوں گا، ارجنٹینا یا برازیل میں سے کوئی ایک ٹیم فاتح ہو گی، باقی انگلیڈ کے کھیل سے مایوس ہوا ہوں شاید رونی صورتحال سنبھال لے آگے,neutral,sports,True,neu,neu,neu
میں نے ارجنٹینا کا میچ مس کر دیا ہے جب تک میراڈونا کھیلتا تھا تو میں ارجنٹینا کا کوئی میچ مس نہیں کرتا تھا,neutral,sports,True,neu,neu,neu
ویسے میں بالکل تیار ہوں  ,neutral,sports,True,neu,neu,neu
 اچھی کرکٹ دیکھنے کو ملتی ہے,positive,sports,True,pos,pos,pos
اگر کہیں سے کمنٹری نے ملے تو بال ٹو بال کمنٹری کے لیئے  پر لاگ آن ہوں,negative,sports,True,neg,neg,neg
 مجے تو ایسا کچھ نہیں پتہہاں البتہ جب میری امی جی کرکٹ دیکھ رہی ہوتی ہیںتو مجھے بہت الجھن ہوتی ہے مجھے کوئی خاص دلچسپی نہیں ہےشاید اسی لیے ,negative,sports,True,neg,neg,neg
یہی میچ تو دیکھنے کے لائق ہوتے ہیں,positive,sports,True,pos,pos,pos
اگر انڈیا کے ساتھ ہو تو پھر وہی معاملہ ہے,neutral,sports,True,neu,neu,neu
جسے پاکستانی ہو کر کرکٹ سے دلچسپی نہیں، اسے ہاکی یا فٹ بال سے کیا ہو گی,negative,sports,True,neg,neg,neg
شمشاد پاکستان کا قومی کھیل تو ہاکی ہے,neutral,sports,False,pos,neu,neu
اوراب آپ کھیل کی پسندیدگی کو پاکستانیت کا معیار تو نہ بنائیں نا,neutral,sports,False,neu,neg,neu
